,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,LeBron James\jamesle01,,17,1265,48551,34241,9405,9346,.504,.344,.734,38.4,27.1,7.4,7.4,236.4,.234,8.9,133.7
2,2,DET,Darko Miličić\milicda01,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-2.4,-0.9
3,3,DEN,Carmelo Anthony\anthoca01,Syracuse,17,1122,40031,26446,7306,3250,.448,.349,.812,35.7,23.6,6.5,2.9,102.3,.123,1.5,35.6
4,4,TOR,Chris Bosh\boshch01,Georgia Tech,13,893,31936,17189,7592,1795,.494,.335,.799,35.8,19.2,8.5,2.0,106.0,.159,1.9,31.1
5,5,MIA,Dwyane Wade\wadedw01,Marquette,16,1054,35773,23165,4933,5701,.480,.293,.765,33.9,22.0,4.7,5.4,120.7,.162,5.0,62.8
6,6,LAC,Chris Kaman\kamanch01,Central Michigan University,13,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-1.9,0.4
7,7,CHI,Kirk Hinrich\hinriki01,Kansas,13,879,27015,9594,2576,4245,.411,.375,.800,30.7,10.9,2.9,4.8,52.5,.093,0.0,13.3
8,8,MIL,T.J. Ford\fordtj01,Texas,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.4,4.6
9,9,NYK,Mike Sweetney\sweetmi01,Georgetown,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103,-2.7,-0.6
10,10,WAS,Jarvis Hayes\hayesja01,Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049,-2.5,-1.3
11,11,GSW,Mickaël Piétrus\pietrmi01,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079,-0.9,3.2
12,12,SEA,Nick Collison\collini01,Kansas,14,910,18603,5359,4701,939,.534,.208,.723,20.4,5.9,5.2,1.0,44.5,.115,-1.3,3.1
13,13,MEM,Marcus Banks\banksma01,UNLV,8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057,-2.0,-0.1
14,14,SEA,Luke Ridnour\ridnolu01,Oregon,12,830,21623,7740,1877,3713,.431,.349,.862,26.1,9.3,2.3,4.5,36.0,.080,-0.6,7.5
15,15,ORL,Reece Gaines\gainere01,Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-.049,-6.1,-0.6
16,16,BOS,Troy Bell\belltr01,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-.326,-19.6,-0.2
